"Account","Codename","URL","List"
"Alice Weidel","aliceweidel","https://www.facebook.com/1061322973878937","AFD_FB_BTW21"
"Martin Sichert, MdB","sichertmartin","https://www.facebook.com/1509620576000837","AFD_FB_BTW21"
"Raimond Scheirich","Scheirich.Raimond","https://www.facebook.com/680341992382788","AFD_FB_BTW21"
"Georg Pazderski","Pazderski.Georg","https://www.facebook.com/1487410064605156","AFD_FB_BTW21"
"Petr Bystron","bystronpetr","https://www.facebook.com/1636160909956158","AFD_FB_BTW21"
"Martin Reichardt","MartinReichardtAfD","https://www.facebook.com/1783417735277557","AFD_FB_BTW21"
"Marc Bernhard MdB","MarcBernhardAfD","https://www.facebook.com/953370261352295","AFD_FB_BTW21"
"Tino Chrupalla","TinoAfD","https://www.facebook.com/1592161514425449","AFD_FB_BTW21"
"René Springer","springer.rene","https://www.facebook.com/180406922444317","AFD_FB_BTW21"
"Steffen Kotré","St.Kotre","https://www.facebook.com/1310772865717843","AFD_FB_BTW21"
"Gerd Kögler Politics","Gerd.Koegler.Politics","https://www.facebook.com/669212903276141","AFD_FB_BTW21"
"Peter Felser, AfD","peterfelserafd","https://www.facebook.com/225499161202327","AFD_FB_BTW21"
"Beatrix von Storch","BeatrixVonStorch","https://www.facebook.com/549796328395150","AFD_FB_BTW21"
"Sebastian Münzenmaier, MdB","sebastian.muenzenmaier","https://www.facebook.com/1769949476598582","AFD_FB_BTW21"
"Gerd Mannes","GerdMannesr","https://www.facebook.com/442474682778346","AFD_FB_BTW21"
"Andreas Bleck, MdB","AndreasBleckMdB","https://www.facebook.com/441715872855412","AFD_FB_BTW21"
"Dr. Dirk Spaniel","spaniel.afd","https://www.facebook.com/1801375653478633","AFD_FB_BTW21"
"Stephan Brandner, MdB","stBrandner","https://www.facebook.com/1550798871807977","AFD_FB_BTW21"
"Mariana Harder-Kühnel","M.Harder.Kuehnel","https://www.facebook.com/319006178685355","AFD_FB_BTW21"
"Norbert Kleinwächter","norbert.kleinwaechter","https://www.facebook.com/346613215704870","AFD_FB_BTW21"
