party,state,abbreviation,website
AfD,Baden-Württemberg,BW,https://www.afd-bw.de
AfD,Bayern,BY,https://www.afdbayern.de
AfD,Berlin,BE,https://www.afd.berlin
AfD,Brandenburg,BB,https://www.afd-brandenburg.de
AfD,Bremen,HB,https://www.afd-bremen.de
AfD,Hamburg,HH,https://www.afd-hamburg.de
AfD,Hessen,HE,https://www.afd-hessen.de
AfD,main_website,-,https://www.afd.de
AfD,Mecklenburg-Vorpommern,NI,https://www.afd-mv.de
AfD,Niedersachsen,MV,https://www.afd-niedersachsen.de
AfD,Nordrhein-Westfalen,NW,https://www.afd.nrw
AfD,Rheinland-Pfalz,RP,https://www.alternative-rlp.de
AfD,Saarland,SL,https://www.afd.saarland
AfD,Sachsen,SN,https://www.afdsachsen.de
AfD,Sachsen-Anhalt,ST,https://www.afd-lsa.de
AfD,Schleswig-Holstein,SH,https://www.afd-sh.de
AfD,Thüringen,TH,https://www.afd-thueringen.de
BÜNDNIS 90/DIE GRÜNEN,Baden-Württemberg,BW,https://www.gruene-bw.de
BÜNDNIS 90/DIE GRÜNEN,Bayern,BY,https://www.gruene-bayern.de
BÜNDNIS 90/DIE GRÜNEN,Berlin,BE,https://www.gruene.berlin
BÜNDNIS 90/DIE GRÜNEN,Brandenburg,BB,https://www.gruene-brandenburg.de/startseite/
BÜNDNIS 90/DIE GRÜNEN,Bremen,HB,https://www.gruene-bremen.de
BÜNDNIS 90/DIE GRÜNEN,Hamburg,HH,https://www.gruene-hamburg.de
BÜNDNIS 90/DIE GRÜNEN,Hessen,HE,https://www.gruene-hessen.de
BÜNDNIS 90/DIE GRÜNEN,main_website,-,https://www.gruene.de
BÜNDNIS 90/DIE GRÜNEN,Mecklenburg-Vorpommern,NI,https://www.gruene-mv.de
BÜNDNIS 90/DIE GRÜNEN,Niedersachsen,MV,https://www.gruene-niedersachsen.de
BÜNDNIS 90/DIE GRÜNEN,Nordrhein-Westfalen,NW,https://www.gruene-nrw.de
BÜNDNIS 90/DIE GRÜNEN,Rheinland-Pfalz,RP,https://www.gruene-rlp.de
BÜNDNIS 90/DIE GRÜNEN,Saarland,SL,https://www.gruene-saar.de
BÜNDNIS 90/DIE GRÜNEN,Sachsen,SN,https://www.gruene-sachsen.de
BÜNDNIS 90/DIE GRÜNEN,Sachsen-Anhalt,ST,https://www.gruene-lsa.de
BÜNDNIS 90/DIE GRÜNEN,Schleswig-Holstein,SH,https://www.sh-gruene.de
BÜNDNIS 90/DIE GRÜNEN,Thüringen,TH,https://www.gruene-thueringen.de
CDU,Baden-Württemberg,BW,https://www.cdu-bw.de
CDU,Berlin,BE,https://www.cdu.berlin
CDU,Brandenburg,BB,https://www.cdu-brandenburg.de
CDU,Bremen,HB,https://www.cdu-bremen.de
CDU,Hamburg,HH,https://www.cduhamburg.de
CDU,Hessen,HE,https://www.cduinhessen.de
CDU,main_website,-,https://www.cdu.de
CDU,Mecklenburg-Vorpommern,NI,https://www.cdu-mecklenburg-vorpommern.de
CDU,Niedersachsen,MV,https://www.cdu-niedersachsen.de
CDU,Nordrhein-Westfalen,NW,https://www.cdu-nrw.de
CDU,Rheinland-Pfalz,RP,https://www.cdurlp.de
CDU,Saarland,SL,https://www.cdu-saar.de
CDU,Sachsen,SN,https://www.cdu-sachsen.de
CDU,Sachsen-Anhalt,ST,https://www.cdulsa.de
CDU,Schleswig-Holstein,SH,https://www.cdu-sh.de
CDU,Thüringen,TH,https://www.cdu-thueringen.de
CDU_CSU,main_website,-,https://www.cducsu.de
CSU,main_website,-,https://www.csu.de
